eng-text,jp-text,oyamoji,furigana,base-filename,category,type
Apple,りんご,りんご,,Apple,食べ物,Vocab
Badger,アナグマ,アナグマ,,Badger,動物,Vocab
Bag,カバン,カバン,,Bag,日常,Vocab
Ball,ボール,ボール,,Ball,日常,Vocab
Banana,バナナ,バナナ,,Banana,食べ物,Vocab
Bat,コウモリ,コウモリ,,Bat,動物,Vocab
Bear,熊,熊,くま,Bear,動物,Vocab
Black,黒,黒,くろ,Black,色,Vocab
Blue,青,青,あお,Blue,色,Vocab
Book,本,本,ほん,Book,日常,Vocab
Box,箱,箱,はこ,Box,日常,Vocab
Bread,パン,パン,,Bread,食べ物,Vocab
Brown,茶色,茶; 色,ちゃ; いろ,Brown,色,Vocab
Butter,バター,バター,,Butter,食べ物,Vocab
Butterfly,蝶,蝶,ちょう,Butterfly,動物,Vocab
Cabbage,キャベッツ,キャベッツ,,Cabbage,食べ物,Vocab
Cake,ケーキ,ケーキ,,Cake,食べ物,Vocab
Camel,ラクダ,ラクダ,,Camel,動物,Vocab
Candy,飴,飴,あめ,Candy,食べ物,Vocab
Carrot,にんじん,にんじん,,Carrot,食べ物,Vocab
Cat,猫,猫,ねこ,Cat,動物,Vocab
Cheese,チーズ,チーズ,,Cheese,食べ物,Vocab
Chestnut,栗,栗,くり,Chestnut,食べ物,Vocab
Chicken,ニワトリ,ニワトリ,,Chicken,動物,Vocab
Chocolate,チョコレート,チョコレート,,Chocolate,食べ物,Vocab
Chopsticks,箸,箸,はし,Chopsticks,日常,Vocab
Clock,時計,時; 計,と; けい,Clock,日常,Vocab
Coffee,コーヒー,コーヒー,,Coffee,食べ物,Vocab
Coin,硬貨,硬; 貨,こう; か,Coin,日常,Vocab
Comb,櫛,櫛,くし,Comb,日常,Vocab
Cow,ウシ,ウシ,,Cow,動物,Vocab
Crocodile,ワニ,ワニ,,Crocodile,動物,Vocab
Crow,カラス,カラス,,Crow,動物,Vocab
Cucumber,キューリ,キューリ,,Cucumber,食べ物,Vocab
Cup,カップ,カップ,,Cup,日常,Vocab
Deer,シカ,シカ,,Deer,動物,Vocab
Dog,犬,犬,いぬ,Dog,動物,Vocab
Doll,人形,人; 形,にん; ぎょう,Doll,日常,Vocab
Dolphin,イルカ,イルカ,,Dolphin,動物,Vocab
Dressing,ドレシング,ドレシング,,Dressing,食べ物,Vocab
Duck,アヒル,アヒル,,Duck,動物,Vocab
Egg,卵,卵,たまご,Egg,食べ物,Vocab
Eggplant,ナス,ナス,,Eggplant,食べ物,Vocab
Eight,八,八,,Eight,数字,Vocab
Eighteen,十八,十八,,Eighteen,数字,Vocab
Elephant,象,象,ぞう,Elephant,動物,Vocab
Eleven,十一,十; 一,じゅう; いち,Eleven,数字,Vocab
Fifteen,十五,十; 五,じゅう; ご,Fifteen,数字,Vocab
Five,五,五,ご,Five,数字,Vocab
Flour,小麦粉,小; 麦; 粉,こ; むぎ; こ,Flour,食べ物,Vocab
Fork,フォーク,フォーク,,Fork,日常,Vocab
Four,四,四,よん,Four,数字,Vocab
Fourteen,十四,十; 四,じゅう; よん,Fourteen,数字,Vocab
Fox,狐,狐,きつね,Fox,動物,Vocab
Frog,蛙,蛙,かえる,Frog,動物,Vocab
Garlic,ニンニク,ニンニク,,Garlic,食べ物,Vocab
Ginger,生姜,生; 姜,しょう; が,Ginger,食べ物,Vocab
Giraffe,キリン,キリン,,Giraffe,動物,Vocab
Glasses,メガネ,メガネ,,Glasses,日常,Vocab
Goat,ヤギ,ヤギ,,Goat,動物,Vocab
Grape,ぶどう,ぶどう,,Grape,食べ物,Vocab
Green,緑,緑,みどり,Green,色,Vocab
Hat,帽子,帽; 子,ぼう; し,Hat,日常,Vocab
Hippo,カバ,カバ,,Hippo,動物,Vocab
Honey,はちみつ,はちみつ,,Honey,食べ物,Vocab
Horse,馬,馬,うま,Horse,動物,Vocab
Ice cream,アイスクリーム,アイスクリーム,,Ice cream,食べ物,Vocab
Ink,墨,墨,すみ,Ink,日常,Vocab
Juice,ジュース,ジュース,,Juice,食べ物,Vocab
Key,鍵,鍵,かぎ,Key,日常,Vocab
Knife,ナイフ,ナイフ,,Knife,日常,Vocab
Lemon,レモン,レモン,,Lemon,食べ物,Vocab
Leopard,ヒョウ,ヒョウ,,Leopard,動物,Vocab
Lion,ライオン,ライオン,,Lion,動物,Vocab
Lizard,トカゲ,トカゲ,,Lizard,動物,Vocab
Magazine,雑誌,雑誌,ざっし,Magazine,日常,Vocab
Map,地図,地; 図,ち; ず,Map,日常,Vocab
Milk,牛乳,牛; 乳,ぎゅう; にゅう,Milk,食べ物,Vocab
Monkey,猿,猿,さる,Monkey,動物,Vocab
Mouse,ネズミ,ネズミ,,Mouse,動物,Vocab
Mushroom,きのこ,きのこ,,Mushroom,食べ物,Vocab
Nine,九,九,きゅう,Nine,数字,Vocab
Nineteen,十九,十九,じゅう; きゅう,Nineteen,数字,Vocab
Oil,油,油,あぶら,Oil,食べ物,Vocab
One,一,一,いち,One,数字,Vocab
Onion,玉ねぎ,玉; ねぎ,たま; _,Onion,食べ物,Vocab
Orange,オレンジ色,オレンジ; 色,_; いろ,Orange,色,Vocab
Ostrich,ダチョウ,ダチョウ,,Ostrich,動物,Vocab
Owl,フクロウ,フクロウ,,Owl,動物,Vocab
